Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2019-01-02	89.56	64.60	1702600.00	1058300.00
2019-01-03	88.74	63.23	1103200.00	870000.00
2019-01-04	90.15	63.72	1239200.00	791600.00
2019-01-07	89.93	63.14	2532100.00	854000.00
2019-01-08	90.73	63.19	1905900.00	1162800.00
2019-01-09	91.89	63.80	2723400.00	821400.00
2019-01-10	92.47	64.72	1439700.00	658000.00
2019-01-11	92.76	65.14	1190500.00	495100.00
2019-01-14	92.82	65.47	2076100.00	505600.00
2019-01-15	93.62	65.81	1333800.00	553700.00
2019-01-16	94.89	66.81	1582000.00	845900.00
2019-01-17	95.70	67.03	1186200.00	480200.00
2019-01-18	96.73	67.52	2544900.00	562700.00
2019-01-21	96.76	66.98	594400.00	133700.00
2019-01-22	96.70	67.72	1419200.00	467900.00
2019-01-23	96.61	68.28	1714600.00	566900.00
2019-01-24	96.80	68.03	1444700.00	412200.00
2019-01-25	97.24	67.55	1310300.00	432700.00
2019-01-28	96.68	67.59	3677000.00	327600.00
2019-01-29	97.05	68.16	1778000.00	379500.00
2019-01-30	97.73	68.18	2195100.00	289700.00
2019-01-31	96.18	68.71	2177800.00	802400.00
2019-02-01	95.94	68.65	1137800.00	469300.00
2019-02-04	96.72	69.19	2263800.00	404100.00
2019-02-05	97.25	70.09	1021500.00	427700.00
2019-02-06	97.20	69.83	1251000.00	302700.00
2019-02-07	97.14	70.39	2024900.00	694500.00
2019-02-08	96.95	70.64	1021100.00	537700.00
2019-02-11	96.98	69.97	1078500.00	334000.00
2019-02-12	97.82	69.86	3162300.00	414800.00
2019-02-13	97.87	69.58	1106800.00	299000.00
2019-02-14	97.35	70.00	1859700.00	375900.00
2019-02-15	98.13	70.13	1567000.00	459000.00
2019-02-19	98.16	69.86	2015800.00	396400.00
2019-02-20	99.05	69.36	1572300.00	368200.00
2019-02-21	98.47	70.01	2140200.00	527000.00
2019-02-22	98.73	70.00	1274400.00	429500.00
2019-02-25	99.18	69.71	1191300.00	600600.00
2019-02-26	101.66	71.77	2937200.00	854300.00
2019-02-27	102.94	71.06	1715200.00	529600.00
2019-02-28	102.62	71.56	1589400.00	863000.00
2019-03-01	103.15	72.11	2056500.00	619000.00
2019-03-04	103.29	72.10	1686500.00	541300.00
2019-03-05	103.64	72.48	1499000.00	590200.00
2019-03-06	103.91	73.20	1975400.00	660800.00
2019-03-07	103.58	73.19	1546500.00	891000.00
2019-03-08	102.83	72.18	1792000.00	634200.00
2019-03-11	102.85	73.24	1590200.00	410600.00
