Attributes,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,
2019-01-02,89.56,64.60,61.05,17.13,1702600.00,1058300.00,626700.00,379300.00
2019-01-03,88.74,63.23,60.67,17.30,1103200.00,870000.00,617800.00,575100.00
2019-01-04,90.15,63.72,60.80,17.34,1239200.00,791600.00,444100.00,526900.00
2019-01-07,89.93,63.14,61.37,17.48,2532100.00,854000.00,724700.00,382500.00
2019-01-08,90.73,63.19,61.85,17.63,1905900.00,1162800.00,601100.00,384800.00
2019-01-09,91.89,63.80,62.48,18.21,2723400.00,821400.00,643000.00,598400.00
2019-01-10,92.47,64.72,62.89,17.73,1439700.00,658000.00,596800.00,638500.00
2019-01-11,92.76,65.14,63.86,17.63,1190500.00,495100.00,668100.00,547600.00
2019-01-14,92.82,65.47,64.07,17.64,2076100.00,505600.00,739000.00,295700.00
2019-01-15,93.62,65.81,64.62,17.60,1333800.00,553700.00,567600.00,338600.00
2019-01-16,94.89,66.81,64.18,17.74,1582000.00,845900.00,860800.00,683800.00
2019-01-17,95.70,67.03,64.30,17.95,1186200.00,480200.00,738200.00,269500.00
2019-01-18,96.73,67.52,63.63,18.16,2544900.00,562700.00,1073500.00,1062400.00
2019-01-21,96.76,66.98,63.70,17.87,594400.00,133700.00,381400.00,196500.00
2019-01-22,96.70,67.72,63.93,17.78,1419200.00,467900.00,593200.00,467600.00
2019-01-23,96.61,68.28,63.44,17.91,1714600.00,566900.00,799400.00,509400.00
2019-01-24,96.80,68.03,63.27,18.49,1444700.00,412200.00,815500.00,488500.00
2019-01-25,97.24,67.55,63.20,18.00,1310300.00,432700.00,547300.00,579800.00
2019-01-28,96.68,67.59,63.56,17.93,3677000.00,327600.00,383600.00,500300.00
2019-01-29,97.05,68.16,63.41,18.08,1778000.00,379500.00,445000.00,705800.00
2019-01-30,97.73,68.18,63.10,17.62,2195100.00,289700.00,579700.00,937100.00
2019-01-31,96.18,68.71,63.63,17.69,2177800.00,802400.00,371800.00,1095900.00
2019-02-01,95.94,68.65,63.96,17.77,1137800.00,469300.00,261100.00,290600.00
2019-02-04,96.72,69.19,64.52,17.71,2263800.00,404100.00,331100.00,445000.00
2019-02-05,97.25,70.09,66.05,18.03,1021500.00,427700.00,471800.00,418200.00
2019-02-06,97.20,69.83,66.57,18.30,1251000.00,302700.00,394600.00,348900.00
2019-02-07,97.14,70.39,66.54,18.50,2024900.00,694500.00,382200.00,553900.00
2019-02-08,96.95,70.64,66.63,17.62,1021100.00,537700.00,248300.00,1146300.00
2019-02-11,96.98,69.97,66.36,18.12,1078500.00,334000.00,398600.00,587900.00
2019-02-12,97.82,69.86,66.96,18.81,3162300.00,414800.00,456700.00,683200.00
2019-02-13,97.87,69.58,66.52,19.20,1106800.00,299000.00,296700.00,487500.00
2019-02-14,97.35,70.00,66.85,18.72,1859700.00,375900.00,614900.00,483100.00
2019-02-15,98.13,70.13,66.72,19.33,1567000.00,459000.00,472100.00,471800.00
2019-02-19,98.16,69.86,66.69,19.18,2015800.00,396400.00,349800.00,592300.00
2019-02-20,99.05,69.36,66.54,18.81,1572300.00,368200.00,469000.00,630700.00
2019-02-21,98.47,70.01,65.50,19.03,2140200.00,527000.00,1305100.00,886000.00
2019-02-22,98.73,70.00,64.09,18.98,1274400.00,429500.00,995000.00,372800.00
2019-02-25,99.18,69.71,64.95,18.79,1191300.00,600600.00,712700.00,697600.00
2019-02-26,101.66,71.77,65.41,18.66,2937200.00,854300.00,625300.00,613700.00
2019-02-27,102.94,71.06,65.64,18.69,1715200.00,529600.00,501100.00,561100.00
2019-02-28,102.62,71.56,65.54,18.60,1589400.00,863000.00,713500.00,1896600.00
2019-03-01,103.15,72.11,64.89,18.83,2056500.00,619000.00,482400.00,507400.00
2019-03-04,103.29,72.10,65.32,18.84,1686500.00,541300.00,435400.00,668300.00
2019-03-05,103.64,72.48,64.77,18.61,1499000.00,590200.00,490500.00,494900.00
2019-03-06,103.91,73.20,64.97,18.46,1975400.00,660800.00,468500.00,399700.00
2019-03-07,103.58,73.19,65.21,18.17,1546500.00,891000.00,626600.00,497700.00
2019-03-08,102.83,72.18,64.78,18.05,1792000.00,634200.00,484800.00,505700.00
2019-03-11,102.85,73.24,64.96,18.39,1590200.00,410600.00,741700.00,723500.00
2019-03-12,101.95,73.45,65.00,18.15,1854600.00,479500.00,576000.00,782100.00
2019-03-13,102.07,74.07,64.90,18.17,3530300.00,435300.00,710300.00,1671000.00
2019-03-14,102.67,74.32,65.01,17.98,913400.00,403400.00,778500.00,684900.00
2019-03-15,103.70,75.25,65.66,18.02,5267600.00,1786400.00,1613000.00,5348600.00
2019-03-18,104.11,75.27,65.47,18.39,994300.00,370000.00,465200.00,760700.00
2019-03-19,103.54,75.46,65.13,18.60,910700.00,409900.00,573900.00,652400.00
2019-03-20,102.74,75.35,64.69,18.12,1293600.00,426100.00,374800.00,625300.00
2019-03-21,102.25,76.76,65.73,18.16,1316800.00,375700.00,424900.00,654300.00
2019-03-22,100.74,77.69,65.63,17.94,2634700.00,732900.00,655300.00,773300.00
2019-03-25,100.97,77.25,65.86,17.93,1880500.00,505000.00,429600.00,835600.00
2019-03-26,101.12,77.16,65.54,18.39,2453400.00,505500.00,523900.00,991100.00
2019-03-27,100.91,77.87,66.03,18.36,1949100.00,393300.00,586600.00,1058100.00
2019-03-28,100.52,79.23,66.46,18.15,1274300.00,554700.00,428300.00,337300.00
2019-03-29,99.99,79.07,65.92,18.24,1444400.00,597100.00,453100.00,1318400.00
2019-04-01,101.48,78.93,65.96,18.36,1321000.00,247300.00,420900.00,459400.00
2019-04-02,102.14,78.62,66.57,18.40,1003300.00,392800.00,375100.00,570300.00
2019-04-03,102.19,79.38,66.98,18.65,1812900.00,483500.00,619400.00,988400.00
2019-04-04,102.31,78.27,66.87,18.88,1008400.00,528900.00,389500.00,760300.00
2019-04-05,102.34,78.53,66.60,18.79,874500.00,358000.00,356500.00,369100.00
2019-04-08,102.25,78.37,66.48,18.58,979600.00,264200.00,367300.00,631700.00
2019-04-09,101.97,78.17,66.50,18.69,979900.00,367300.00,325400.00,455500.00
2019-04-10,102.06,78.64,66.67,18.56,778700.00,270300.00,439700.00,370900.00
2019-04-11,102.54,78.89,66.54,18.65,1139800.00,294000.00,429200.00,399000.00
2019-04-12,103.23,79.56,66.40,18.68,1195300.00,284800.00,520700.00,256500.00
2019-04-15,103.53,80.08,66.34,18.75,882800.00,336800.00,388500.00,331600.00
2019-04-16,103.87,79.84,66.18,18.74,2048100.00,390600.00,401300.00,2046300.00
2019-04-17,105.19,79.80,65.85,18.86,1402200.00,408900.00,350200.00,378300.00
2019-04-18,105.50,80.20,66.36,18.90,1194800.00,544900.00,524800.00,378600.00
2019-04-22,105.44,80.16,66.32,18.60,642400.00,457400.00,153100.00,264900.00
2019-04-23,105.63,80.37,66.06,18.84,1591400.00,611600.00,489000.00,412000.00
2019-04-24,105.37,80.54,64.88,19.66,1255300.00,651200.00,653300.00,1075600.00
2019-04-25,105.34,82.00,65.36,19.22,1841600.00,473300.00,293400.00,985200.00
2019-04-26,105.69,82.02,65.12,19.35,3228300.00,294000.00,361900.00,422500.00
2019-04-29,106.41,82.20,65.31,19.31,2091800.00,548200.00,284100.00,290400.00
2019-04-30,105.82,82.79,65.63,19.27,1790000.00,388400.00,441600.00,497500.00
2019-05-01,105.83,82.92,64.34,19.29,1102700.00,537500.00,603000.00,332300.00
2019-05-02,105.73,83.01,65.25,19.52,2463300.00,237700.00,490200.00,415800.00
2019-05-03,106.11,82.63,65.23,19.31,1497900.00,343000.00,348600.00,405700.00
2019-05-06,106.36,82.99,66.03,19.35,1833100.00,334200.00,596300.00,1193000.00
2019-05-07,105.55,82.20,67.43,19.22,1480100.00,494800.00,923600.00,533400.00
2019-05-08,105.47,84.65,67.55,19.25,988500.00,1369200.00,1056900.00,400800.00
2019-05-09,104.55,85.17,68.37,20.12,1640200.00,1380800.00,873300.00,728800.00
2019-05-10,104.16,85.90,67.97,20.74,2116200.00,606800.00,746800.00,701300.00
2019-05-13,102.86,85.52,67.79,20.37,1491500.00,450800.00,535600.00,811200.00
2019-05-14,103.31,86.50,69.11,20.75,950100.00,562700.00,702900.00,1143800.00
2019-05-15,103.58,87.06,69.06,20.75,806000.00,404400.00,552900.00,503400.00
2019-05-16,104.01,87.79,70.21,20.47,900900.00,502200.00,712000.00,353500.00
2019-05-17,103.42,87.42,69.97,20.25,1497000.00,564000.00,612100.00,366700.00
2019-05-21,104.63,87.48,69.79,20.87,1701600.00,779500.00,730200.00,877100.00
