Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,78.03,61.40,57.82,15.30,89.56,64.60,61.05,17.13,89.56,65.73,61.80,17.35,87.91,64.25,60.45,16.92,88.58,65.73,60.97,17.13,1702600.00,1058300.00,626700.00,379300.00
2019-01-03,77.32,60.09,57.46,15.45,88.74,63.23,60.67,17.30,89.43,64.60,61.11,17.42,88.28,63.14,60.37,16.93,89.38,64.39,60.77,17.10,1103200.00,870000.00,617800.00,575100.00
2019-01-04,78.55,60.56,57.58,15.49,90.15,63.72,60.80,17.34,90.29,64.05,61.29,17.83,89.13,63.42,60.51,17.28,89.68,63.60,60.93,17.51,1239200.00,791600.00,444100.00,526900.00
2019-01-07,78.35,60.01,58.12,15.61,89.93,63.14,61.37,17.48,90.41,63.71,61.60,17.52,88.92,62.92,60.47,17.20,90.41,63.68,61.00,17.39,2532100.00,854000.00,724700.00,382500.00
2019-01-08,79.05,60.06,58.58,15.75,90.73,63.19,61.85,17.63,90.75,64.14,62.09,17.78,89.53,62.95,61.31,17.45,90.50,63.44,61.55,17.61,1905900.00,1162800.00,601100.00,384800.00
2019-01-09,80.06,60.63,59.17,16.26,91.89,63.80,62.48,18.21,92.32,63.94,62.65,18.23,90.84,63.21,61.84,17.69,91.09,63.23,61.86,17.69,2723400.00,821400.00,643000.00,598400.00
2019-01-10,80.57,61.51,59.56,15.84,92.47,64.72,62.89,17.73,92.57,64.75,63.12,17.88,91.19,63.45,62.36,17.38,91.87,63.65,62.58,17.86,1439700.00,658000.00,596800.00,638500.00
2019-01-11,80.82,61.91,60.48,15.75,92.76,65.14,63.86,17.63,92.94,65.23,64.16,17.85,92.12,64.43,62.85,17.54,92.47,64.76,62.92,17.69,1190500.00,495100.00,668100.00,547600.00
2019-01-14,80.87,62.22,60.68,15.75,92.82,65.47,64.07,17.64,93.28,65.54,64.36,17.80,92.33,64.97,63.47,17.54,92.70,65.22,63.85,17.58,2076100.00,505600.00,739000.00,295700.00
2019-01-15,81.57,62.55,61.20,15.72,93.62,65.81,64.62,17.60,93.85,66.22,64.89,17.70,92.37,65.48,64.19,17.31,92.79,65.60,64.19,17.60,1333800.00,553700.00,567600.00,338600.00
2019-01-16,82.68,63.50,60.78,15.84,94.89,66.81,64.18,17.74,94.95,66.85,64.73,17.96,93.86,65.79,63.91,17.59,94.09,65.85,64.68,17.62,1582000.00,845900.00,860800.00,683800.00
2019-01-17,83.38,63.70,60.90,16.03,95.70,67.03,64.30,17.95,95.99,67.22,64.73,17.98,94.75,66.53,63.95,17.66,94.75,66.53,64.17,17.66,1186200.00,480200.00,738200.00,269500.00
2019-01-18,84.28,64.17,60.26,16.22,96.73,67.52,63.63,18.16,96.97,67.89,64.42,18.32,96.33,67.12,63.59,18.00,96.50,67.18,64.42,18.00,2544900.00,562700.00,1073500.00,1062400.00
2019-01-21,84.30,63.66,60.33,15.96,96.76,66.98,63.70,17.87,96.93,67.48,64.37,18.09,96.07,66.90,63.55,17.68,96.93,67.47,63.74,18.03,594400.00,133700.00,381400.00,196500.00
2019-01-22,84.25,64.36,60.55,15.88,96.70,67.72,63.93,17.78,96.70,67.77,64.01,18.01,95.85,66.88,63.41,17.56,96.36,66.94,63.85,17.87,1419200.00,467900.00,593200.00,467600.00
2019-01-23,84.17,64.89,60.08,16.00,96.61,68.28,63.44,17.91,97.45,68.38,64.53,17.93,96.25,67.85,63.39,17.66,96.87,67.85,63.79,17.79,1714600.00,566900.00,799400.00,509400.00
2019-01-24,84.34,64.65,59.92,16.51,96.80,68.03,63.27,18.49,96.98,68.44,64.14,18.51,96.11,67.98,63.24,17.87,96.11,68.20,63.56,17.89,1444700.00,412200.00,815500.00,488500.00
2019-01-25,84.72,64.20,59.85,16.08,97.24,67.55,63.20,18.00,97.39,67.80,64.00,18.58,96.57,66.53,62.67,17.95,97.09,67.77,63.66,18.56,1310300.00,432700.00,547300.00,579800.00
2019-01-28,84.24,64.24,60.20,16.01,96.68,67.59,63.56,17.93,96.93,67.68,63.79,18.15,96.18,67.16,62.90,17.89,96.92,67.35,63.09,17.96,3677000.00,327600.00,383600.00,500300.00
2019-01-29,84.56,64.78,60.05,16.15,97.05,68.16,63.41,18.08,97.25,68.25,63.80,18.16,96.61,67.48,62.68,17.90,96.75,67.59,63.43,17.94,1778000.00,379500.00,445000.00,705800.00
2019-01-30,85.15,64.80,59.76,15.74,97.73,68.18,63.10,17.62,97.73,68.41,63.59,18.15,97.10,67.88,62.67,17.24,97.25,68.14,63.40,18.13,2195100.00,289700.00,579700.00,937100.00
2019-01-31,84.67,65.30,60.26,15.80,96.18,68.71,63.63,17.69,96.64,69.11,63.79,17.75,95.75,68.04,63.04,17.40,96.25,68.20,63.25,17.63,2177800.00,802400.00,371800.00,1095900.00
2019-02-01,84.45,65.24,60.57,15.87,95.94,68.65,63.96,17.77,96.44,69.10,64.16,17.91,95.84,68.39,63.41,17.69,95.88,68.82,63.67,17.70,1137800.00,469300.00,261100.00,290600.00
2019-02-04,85.14,65.76,61.10,15.82,96.72,69.19,64.52,17.71,96.85,69.23,64.56,17.80,96.05,68.79,63.90,17.57,96.17,68.93,64.13,17.57,2263800.00,404100.00,331100.00,445000.00
